1,1,Aaigem
2,2,Aalbeke
3,3,Aalst
4,4,Aalst (Limb.)
5,5,Aalter
6,6,Aarschot
7,7,Aarsele
8,8,Aartrijke
9,9,Aartselaar
10,10,Abée
11,11,Abolens
12,12,Achel
13,13,Achêne
14,14,Achet
15,15,Acosse
16,16,Acoz
17,17,Adegem
18,18,Adinkerke
19,19,Affligem
20,20,Afsnee
21,21,Agimont
22,22,Aineffe
23,23,Aische-en-Refail
24,24,Aiseau
25,25,Aiseau-Presles
26,26,Aisemont
27,27,Alken
28,28,Alle
29,29,Alleur
30,30,Alsemberg
31,31,Alveringem
32,32,Amay
33,33,Amberloup
34,34,Amblève
35,35,Ambly
36,36,Ambresin
37,37,Amel
38,38,Amonines
39,39,Amougies
40,40,Ampsin
41,41,Andenne
42,42,Anderlecht
43,43,Anderlues
44,44,Andrimont
45,45,Angleur
46,46,Angre
47,47,Angreau
48,48,Anhée
49,49,Anlier
50,50,Anloy
51,51,Annevoie-Rouillon
52,52,Ans
53,53,Anseremme
54,54,Anseroeul
55,55,Anthée
56,56,Antheit
57,57,Anthisnes
58,58,Antoing
59,59,Antwerpen 1
60,60,Antwerpen 1
61,61,Antwerpen 2
62,62,Antwerpen 3
63,63,Antwerpen 4
64,64,Antwerpen 5
65,65,Antwerpen 6
66,66,Anvaing
67,67,Anzegem
68,68,Appels
69,69,Appelterre-Eichem
70,70,Arbre (Ht.)
71,71,Arbre (Nam.)
72,72,Arbrefontaine
73,73,Arc-Ainières
74,74,Archennes
75,75,Arc-Wattripont
76,76,Ardooie
77,77,Arendonk
78,78,Argenteau
79,79,Arlon
80,80,Arquennes
81,81,Arsimont
82,82,Arville
83,83,As
84,84,Aspelare
85,85,Asper
86,86,Asquillies
87,87,Asse
88,88,Assebroek
89,89,Assenede
90,90,Assenois
91,91,Assent
92,92,Assesse
93,93,Astene
94,94,Ath
95,95,Athis
96,96,Athus
97,97,Attenhoven
98,98,Attenrode
99,99,Attert
100,100,Attre
101,101,Aubange
102,102,Aubechies
103,103,Aubel
104,104,Aublain
105,105,Auby-sur-Semois
106,106,Auderghem
107,107,Audregnies
108,108,Aulnois
109,109,Autelbas
110,110,Autre-Eglise
111,111,Autreppe
112,112,Auvelais
113,113,Ave-et-Auffe
114,114,Avekapelle
115,115,Avelgem
116,116,Avennes
117,117,Averbode
118,118,Avernas-le-Bauduin
119,119,Avin
120,120,Awans
121,121,Awenne
122,122,Awirs
123,123,Aye
124,124,Ayeneux
125,125,Aywaille
126,126,Baaigem
127,127,Baal
128,128,Baardegem
129,129,Baarle-Hertog
130,130,Baasrode
131,131,Bachte-Maria-Leerne
132,132,Baelen (Lg.)
133,133,Bagimont
134,134,Baileux
135,135,Bailièvre
136,136,Baillamont
137,137,Bailleul
138,138,Baillonville
139,139,Baisieux
140,140,Baisy-thy
141,141,Balâtre
142,142,Balegem
143,143,Balen
144,144,Bambrugge
145,145,Bande
146,146,Barbençon
147,147,Barchon
148,148,Baronville
149,149,Barry
150,150,Barvaux-Condroz
151,151,Barvaux-sur-Ourthe
152,152,Basècles
153,153,Bas-Oha
154,154,Basse-Bodeux
155,155,Bassenge
156,156,Bassevelde
157,157,Bassilly
158,158,Bastogne
159,159,Bas-Warneton
160,160,Batsheers
161,161,Battice
162,162,Battignies
163,163,Baudour
164,164,Bauffe
165,165,Baugnies
166,166,Baulers
167,167,Bavegem
168,168,Bavikhove
169,169,Bazel
170,170,Beaufays
171,171,Beaumont
172,172,Beauraing
173,173,Beausaint
174,174,Beauvechain
175,175,Beauwelz
176,176,Beclers
177,177,Beek
178,178,Beerlegem
179,179,Beernem
180,180,Beerse
181,181,Beersel
182,182,Beerst
183,183,Beert
184,184,Beervelde
185,185,Beerzel
186,186,Beez
187,187,Beffe
188,188,Begijnendijk
189,189,Beho
190,190,Beigem
191,191,Bekegem
192,192,Bekkerzeel
193,193,Bekkevoort
194,194,Belgrade
195,195,Bellaire
196,196,Bellecourt
197,197,Bellefontaine (Lux.)
198,198,Bellefontaine (Nam.)
199,199,Bellegem
200,200,Bellem
201,201,Bellevaux
202,202,Bellevaux-Ligneuville
203,203,Bellingen
204,204,Beloeil
205,205,Belsele
206,206,Ben-Ahin
207,207,Bende
208,208,Berbroek
209,209,Berchem (Antwerpen)
210,210,Berchem (O.-Vl.)
211,211,Berchem-Sainte-Agathe
212,212,Berendrecht
213,213,Berg (Bt.)
214,214,Berg (Limb.)
215,215,Bergilers
216,216,Beringen
217,217,Berlaar
218,218,Berlare
219,219,Berlingen
220,220,Berloz
221,221,Berneau
222,222,Bernissart
223,223,Bersillies-l'Abbaye
224,224,Bertem
225,225,Bertogne
226,226,Bertrée
227,227,Bertrix
228,228,Berzée
229,229,Beselare
230,230,Betekom
231,231,Bettincourt
232,232,Beuzet
233,233,Bevel
234,234,Bever
235,235,Bevercé
236,236,Bevere
237,237,Beveren (Leie)
238,238,Beveren (Roeselare)
239,239,Beveren-aan-den-Ijzer
240,240,Beveren-Waas
241,241,Beverlo
242,242,Beverst
243,243,Beyne-Heusay
244,244,Bienne-lez-Happart
245,245,Bierbeek
246,246,Biercée
247,247,Bierges
248,248,Bierghes
249,249,Bierset
250,250,Bierwart
251,251,Biesme
252,252,Biesmerée
253,253,Biesme-sous-Thuin
254,254,Biévène
255,255,Bièvre
256,256,Biez
257,257,Bihain
258,258,Bikschote
259,259,Bilstain
260,260,Bilzen
261,261,Binche
262,262,Binderveld
263,263,Binkom
264,264,Bioul
265,265,Bissegem
266,266,Bizet
267,267,Blaasveld
268,268,Blaimont
269,269,Blandain
270,270,Blanden
271,271,Blankenberge
272,272,Blaregnies
273,273,Blaton
274,274,Blaugies
275,275,Blégny
276,276,Bléharies
277,277,Blehen
278,278,Bleid
279,279,Bleret
280,280,Blicquy
281,281,Bocholt
282,282,Boechout
283,283,Boekhout
284,284,Boekhoute
285,285,Boëlhe
286,286,Boezinge
287,287,Bogaarden
288,288,Bohan
289,289,Boignée
290,290,Boirs
291,291,Bois-de-Lessines
292,292,Bois-de-Villers
293,293,Bois-d'Haine
294,294,Bois-et-Borsu
295,295,Bolinne
296,296,Bolland
297,297,Bomal (Bt.)
298,298,Bomal-sur-Ourthe
299,299,Bombaye
300,300,Bommershoven
301,301,Boncelles
302,302,Boneffe
303,303,Bonheiden
304,304,Boninne
305,305,Bonlez
306,306,Bonnert
307,307,Bonneville
308,308,Bon-Secours
309,309,Bonsin
310,310,Booischot
311,311,Booitshoeke
312,312,Boom
313,313,Boorsem
314,314,Boortmeerbeek
315,315,Borchtlombeek
316,316,Borgerhout (Antwerpen)
317,317,Borgloon
318,318,Borlez
319,319,Borlo
320,320,Borlon
321,321,Bornem
322,322,Bornival
323,323,Borsbeek (Antw.)
324,324,Borsbeke
325,325,Bossière
326,326,Bossuit
327,327,Bossut-Gottechain
328,328,Bost
329,329,Bothey
330,330,Bottelare
331,331,Bouffioulx
332,332,Bouge
333,333,Bougnies
334,334,Bouillon
335,335,Bourlers
336,336,Bourseigne-Neuve
337,337,Bourseigne-Vieille
338,338,Boussoit
339,339,Boussu
340,340,Boussu-en-Fagne
341,341,Boussu-lez-Walcourt
342,342,Bousval
343,343,Boutersem
344,344,Bouvignes-sur-Meuse
345,345,Bouvignies
346,346,Bouwel
347,347,Bovekerke
348,348,Bovelingen
349,349,Bovenistier
350,350,Bovesse
351,351,Bovigny
352,352,Bra
353,353,Braffe
354,354,Braibant
355,355,Braine-l'Alleud
356,356,Braine-le-Château
357,357,Braine-le-Comte
358,358,Braives
359,359,Brakel
360,360,Branchon
361,361,Bras
362,362,Brasmenil
363,363,Brasschaat
364,364,Bray
365,365,Brecht
366,366,Bredene
367,367,Bree
368,368,Breendonk
369,369,Bressoux
370,370,Brielen
371,371,Broechem
372,372,Broekom
373,373,Brucargo
374,374,Brugelette
375,375,Brugge
376,376,Brûly
377,377,Brûly-de-Pesche
378,378,Brunehaut
379,379,Brussegem
380,380,Brussel 1
381,381,Brussel 12
382,382,Brussel 13
383,383,Brussel 14
384,384,Brussel 15
385,385,Brussel 16
386,386,Brussel 17
387,387,Brussel 18
388,388,Brussel 19
389,389,Brussel 2
390,390,Brussel 20
391,391,Brussel 21
392,392,Brussel 3
393,393,Brussel 4
394,394,Brussel 5
395,395,Brussel 6
396,396,Brussel 7
397,397,Brussel 8
398,398,Brussel 9
399,399,Brustem
400,400,Bruxelles 1
401,401,Bruxelles 12
402,402,Bruxelles 13
403,403,Bruxelles 14
404,404,Bruxelles 15
405,405,Bruxelles 16
406,406,Bruxelles 17
407,407,Bruxelles 18
408,408,Bruxelles 19
409,409,Bruxelles 2
410,410,Bruxelles 20
411,411,Bruxelles 21
412,412,Bruxelles 3
413,413,Bruxelles 4
414,414,Bruxelles 5
415,415,Bruxelles 6
416,416,Bruxelles 7
417,417,Bruxelles 8
418,418,Bruxelles 9
419,419,Bruyelle
420,420,Brye
421,421,Budingen
422,422,Buggenhout
423,423,Buissenal
424,424,Buissonville
425,425,Buizingen
426,426,Buken
427,427,Bullange
428,428,Büllingen
429,429,Bulskamp
430,430,Bunsbeek
431,431,Burcht
432,432,Burdinne
433,433,Bure
434,434,Burg-Reuland
435,435,Burst
436,436,Bury
437,437,Butgenbach
438,438,Bütgenbach
439,439,Buvingen
440,440,Buvrinnes
441,441,Buzenol
442,442,Buzet
443,443,Callenelle
444,444,Calonne
445,445,Cambron-Casteau
446,446,Cambron-Saint-Vincent
447,447,Carlsbourg
448,448,Carnières
449,449,Casteau (Mons)
450,450,Casteau (Soignies)
451,451,Castillon
452,452,Celles (Ht.)
453,453,Celles (Lg.)
454,454,Celles (Nam.)
455,455,Cerexhe-Heuseux
456,456,Cerfontaine
457,457,Céroux-Mousty
458,458,Ch.-Notre-Dame-Louvignies
459,459,Chaineux
460,460,Chairière
461,461,Champion
462,462,Champlon
463,463,Chanly
464,464,Chantemelle
465,465,Chapelle-à-Oie
466,466,Chapelle-à-Wattines
467,467,Chapelle-lez-Herlaimont
468,468,Chapon-Seraing
469,469,Charleroi
470,470,Charneux
471,471,Chassepierre
472,472,Chastre
473,473,Chastrès
474,474,Chastre-Villeroux-Blanmont
475,475,Châtelet
476,476,Châtelineau
477,477,Châtillon
478,478,Chaudfontaine
479,479,Chaumont-Gistoux
480,480,Chênée
481,481,Cherain
482,482,Cheratte
483,483,Chercq
484,484,Chevetogne
485,485,Chevron
486,486,Chièvres
487,487,Chimay
488,488,Chiny
489,489,Chokier
490,490,Ciergnon
491,491,Ciney
492,492,Ciplet
493,493,Ciply
494,494,Clabecq
495,495,Clavier
496,496,Clermont (Lg.)
497,497,Clermont (Nam.)
498,498,Clermont-sous-Huy
499,499,Cognelée
500,500,Colfontaine
501,501,Comblain-au-Pont
502,502,Comblain-Fairon
503,503,Comblain-la-Tour
504,504,Comines
505,505,Comines-Warneton
506,506,Conneux
507,507,Corbais
508,508,Corbion
509,509,Cordes
510,510,Corenne
511,511,Cornesse
512,512,Cornimont
513,513,Corroy-le-Château
514,514,Corroy-le-Grand
515,515,Corswarem
516,516,Cortil-Noirmont
517,517,Cortil-Wodon
518,518,Couillet
519,519,Courcelles
520,520,Courrière
521,521,Cour-sur-Heure
522,522,Court-Saint-Etienne
523,523,Couthuin
524,524,Coutisse
525,525,Couture-Saint-Germain
526,526,Couvin
527,527,Cras-Avernas
528,528,Crehen
529,529,Crisnée
530,530,Croix-lez-Rouveroy
531,531,Crombach
532,532,Crupet
533,533,Cuesmes
534,534,Cugnon
535,535,Cul-des-Sarts
536,536,Custinne
537,537,Dadizele
538,538,Dailly
539,539,Daknam
540,540,Dalhem
541,541,Damme
542,542,Dampicourt
543,543,Dampremy
544,544,Darion
545,545,Daussois
546,546,Daussoulx
547,547,Dave
548,548,Daverdisse
549,549,De Haan
550,550,De Klinge
551,551,De Moeren
552,552,De Panne
553,553,De Pinte
554,554,Deerlijk
555,555,Deftinge
556,556,Deinze
557,557,Denderbelle
558,558,Denderhoutem
559,559,Denderleeuw
560,560,Dendermonde
561,561,Denderwindeke
562,562,Denée
563,563,Dentergem
564,564,Dergneau
565,565,Dessel
566,566,Desselgem
567,567,Destelbergen
568,568,Deurle
569,569,Deurne (Antwerpen)
570,570,Deurne (Bt.)
571,571,Deux-Acren
572,572,Dhuy
573,573,Diegem
574,574,Diepenbeek
575,575,Diest
576,576,Diets-Heur
577,577,Dikkebus
578,578,Dikkele
579,579,Dikkelvenne
580,580,Diksmuide
581,581,Dilbeek
582,582,Dilsen
583,583,Dinant
584,584,Dion
585,585,Dion-Valmont
586,586,Dison
587,587,Dochamps
588,588,Doel
589,589,Dohan
590,590,Doische
591,591,Dolembreux
592,592,Donceel
593,593,Dongelberg
594,594,Donk
595,595,Donstiennes
596,596,Dorinne
597,597,Dormaal
598,598,Dottenijs
599,599,Dottignies
600,600,Dour
601,601,Dourbes
602,602,Dranouter
603,603,Dréhance
604,604,Driekapellen
605,605,Drieslinter
606,606,Drogenbos
607,607,Drongen
608,608,Dudzele
609,609,Duffel
610,610,Duisburg
611,611,Duras
612,612,Durbuy
613,613,Durnal
614,614,Dworp
615,615,Eben-Emael
616,616,Ebly
617,617,Ecaussinnes
618,618,Ecaussinnes-d'Enghien
619,619,Ecaussinnes-Lalaing
620,620,Edegem
621,621,Edelare
622,622,Edingen
623,623,Eeklo
624,624,Eernegem
625,625,Egem
626,626,Eggewaartskapelle
627,627,Eghezée
628,628,Ehein (Engis)
629,629,Ehein (Neupré)
630,630,Eigenbilzen
631,631,Eindhout
632,632,Eine
633,633,Eisden
634,634,Eke
635,635,Ekeren (Antwerpen)
636,636,Eksaarde
637,637,Eksel
638,638,Elen
639,639,Elene
640,640,Elewijt
641,641,Eliksem
642,642,Elingen
643,643,Ellemelle
644,644,Ellezelles
645,645,Ellignies-lez-Frasnes
646,646,Ellignies-Sainte-Anne
647,647,Ellikom
648,648,Elouges
649,649,Elsegem
650,650,Elsenborn
651,651,Elsene
652,652,Elst
653,653,Elverdinge
654,654,Elversele
655,655,Emblem
656,656,Embourg
657,657,Emelgem
658,658,Emines
659,659,Emptinne
660,660,Ename
661,661,Engelmanshoven
662,662,Enghien
663,663,Engis
664,664,Enines
665,665,Ensival
666,666,Epinois
667,667,Eppegem
668,668,Eprave
669,669,Erbaut
670,670,Erbisoeul
671,671,Ere
672,672,Erembodegem
673,673,Erezée
674,674,Ermeton-sur-Biert
675,675,Ernage
676,676,Erneuville
677,677,Ernonheid
678,678,Erondegem
679,679,Erpe
680,680,Erpe-Mere
681,681,Erpent
682,682,Erpion
683,683,Erps-kwerps
684,684,Erquelinnes
685,685,Erquennes
686,686,Ertvelde
687,687,Erwetegem
688,688,Escanaffles
689,689,Esen
690,690,Esneux
691,691,Espierres
692,692,Espierres-Helchin
693,693,Esplechin
694,694,Esquelmes
695,695,Essen
696,696,Essene
697,697,Estaimbourg
698,698,Estaimpuis
699,699,Estinnes
700,700,Estinnes-au-Mont
701,701,Estinnes-au-Val
702,702,Etalle
703,703,Ethe
704,704,Etikhove
705,705,Ettelgem
706,706,Etterbeek
707,707,Eugies (Colfontaine)
708,708,Eugies (Frameries)
709,709,Eupen
710,710,Evegnée
711,711,Evelette
712,712,Everbeek
713,713,Everberg
714,714,Evere
715,715,Evergem
716,716,Evregnies
717,717,Evrehailles
718,718,Eynatten
719,719,Ezemaal
720,720,Fagnolle
721,721,Faimes
722,722,Falaën
723,723,Falisolle
724,724,Fallais
725,725,Falmagne
726,726,Falmignoul
727,727,Familleureux
728,728,Farciennes
729,729,Faulx-les-Tombes
730,730,Fauroeulx
731,731,Fauvillers
732,732,Faymonville
733,733,Fays-les-Veneurs
734,734,Fayt-le-Franc
735,735,Fayt-lez-Manage
736,736,Felenne
737,737,Feluy
738,738,Feneur
739,739,Fernelmont
740,740,Ferrières
741,741,Feschaux
742,742,Fexhe-le-Haut-Clocher
743,743,Fexhe-Slins
744,744,Filot
745,745,Finnevaux
746,746,Fize-Fontaine
747,747,Fize-le-Marsal
748,748,Flamierge
749,749,Flavion
750,750,Flawinne
751,751,Flémalle
752,752,Flémalle-Grande
753,753,Flémalle-Haute
754,754,Flénu
755,755,Fléron
756,756,Fleurus
757,757,Flobecq
758,758,Flône
759,759,Florée
760,760,Floreffe
761,761,Florennes
762,762,Florenville
763,763,Floriffoux
764,764,Flostoy
765,765,Focant
766,766,Folx-les-Caves
767,767,Fontaine-l'Evêque
768,768,Fontaine-Valmont
769,769,Fontenelle
770,770,Fontenoille
771,771,Fontenoy
772,772,Fooz
773,773,Forchies-la-Marche
774,774,Forest
775,775,Forest (Ht.)
776,776,Forêt
777,777,Forge-Philippe
778,778,Forges
779,779,Forrières
780,780,Forville
781,781,Fosse (Lg.)
782,782,Fosses-la-Ville
783,783,Fouleng
784,784,Fourbechies
785,785,Fouron-le-Comte
786,786,Fourons
787,787,Fouron-Saint-Martin
788,788,Fouron-Saint-Pierre
789,789,Foy-Notre-Dame
790,790,Fraipont
791,791,Fraire
792,792,Fraiture
793,793,Frameries
794,794,Framont
795,795,Franchimont
796,796,Francorchamps
797,797,Franc-Waret
798,798,Franière
799,799,Frasnes (Nam.)
800,800,Frasnes-lez-Buissenal
801,801,Frasnes-lez-Gosselies
802,802,Freloux
803,803,Freux
804,804,Froidchapelle
805,805,Froidfontaine
806,806,Froidmont
807,807,Fronville
808,808,Froyennes
809,809,Fumal
810,810,Furfooz
811,811,Furnaux
812,812,Gaasbeek
813,813,Gages
814,814,Gallaix
815,815,Galmaarden
816,816,Ganshoren
817,817,Gaurain-Ramecroix
818,818,Gavere
819,819,Gedinne
820,820,Geel
821,821,Geer
822,822,Geest-Gérompont-Pt-Rosière
823,823,Geetbets
824,824,Gelbressée
825,825,Gelinden
826,826,Gellik
827,827,Gelrode
828,828,Geluveld
829,829,Geluwe
830,830,Gembes
831,831,Gembloux
832,832,Gemmenich
833,833,Genappe
834,834,Genk
835,835,Genly
836,836,Genoelselderen
837,837,Gent
838,838,Gentbrugge
839,839,Gentinnes
840,840,Genval
841,841,Geraardsbergen
842,842,Gerdingen
843,843,Gerin
844,844,Gérompont
845,845,Gérouville
846,846,Gerpinnes
847,847,Gestel
848,848,Gesves
849,849,Ghislenghien
850,850,Ghlin
851,851,Ghoy
852,852,Gibecq
853,853,Gierle
854,854,Gijverinkhove
855,855,Gijzegem
856,856,Gijzelbrechtegem
857,857,Gijzenzele
858,858,Gilly (Charleroi)
859,859,Gimnée
860,860,Gingelom
861,861,Gistel
862,862,Gits
863,863,Givry
864,864,Glabais
865,865,Glabbeek(Zuurbemde)
866,866,Glain
867,867,Gleixhe
868,868,Glimes
869,869,Glons
870,870,Gochenée
871,871,Godarville
872,872,Godinne
873,873,Godveerdegem
874,874,Goé
875,875,Goeferdinge
876,876,Goegnies-Chaussée
877,877,Goesnes
878,878,Goetsenhoven
879,879,Gomze-Andoumont
880,880,Gondregnies
881,881,Gonrieux
882,882,Gontrode
883,883,Gooik
884,884,Gorsem
885,885,Gors-Opleeuw
886,886,Gosselies
887,887,Gotem
888,888,Gottem
889,889,Gottignies
890,890,Gougnies
891,891,Gourdinne
892,892,Goutroux
893,893,Gouvy
894,894,Gouy-lez-Piéton
895,895,Gozée
896,896,Grâce-Berleur
897,897,Grâce-Hollogne
898,898,Graide
899,899,Grammene
900,900,Grand-Axhe
901,901,Grandglise
902,902,Grand-Hallet
903,903,Grand-Halleux
904,904,Grandhan
905,905,Grand-Leez
906,906,Grand-Manil
907,907,Grandmenil
908,908,Grandmetz
909,909,Grand-Rechain
910,910,Grand-Reng
911,911,Grandrieu
912,912,Grand-Rosière-Hottomont
913,913,Grandville
914,914,Grandvoir
915,915,Grapfontaine
916,916,Graty
917,917,Graux
918,918,Grazen
919,919,Grembergen
920,920,Grez-Doiceau
921,921,Grimbergen
922,922,Grimminge
923,923,Grivegnée (Liège)
924,924,Grobbendonk
925,925,Groot-Bijgaarden
926,926,Groot-Gelmen
927,927,Groot-Loon
928,928,Grosage
929,929,Gros-Fays
930,930,Grote-Brogel
931,931,Grotenberge
932,932,Grote-Spouwen
933,933,Gruitrode
934,934,Grune
935,935,Grupont
936,936,Guignies
937,937,Guigoven
938,938,Guirsch
939,939,Gullegem
940,940,Gutschoven
941,941,Haacht
942,942,Haaltert
943,943,Haasdonk
944,944,Haasrode
945,945,Habay
946,946,Habay-la-Neuve
947,947,Habay-la-Vieille
948,948,Habergy
949,949,Haccourt
950,950,Hachy
951,951,Hacquegnies
952,952,Haillot
953,953,Haine-Saint-Paul
954,954,Haine-Saint-Pierre
955,955,Hainin
956,956,Hakendover
957,957,Halanzy
958,958,Halen
959,959,Hallaar
960,960,Halle
961,961,Halle (Kempen)
962,962,Halle-Booienhoven
963,963,Halleux
964,964,Halma
965,965,Halmaal
966,966,Haltinne
967,967,Ham
968,968,Hamipré
969,969,Hamme (Bt.)
970,970,Hamme (O.-Vl.)
971,971,Hamme-Mille
972,972,Hamoir
973,973,Hamois
974,974,Hamont
975,975,Hamont-Achel
976,976,Hampteau
977,977,Ham-sur-Heure
978,978,Ham-sur-Heure/Nalinnes
979,979,Ham-sur-Sambre
980,980,Handzame
981,981,Haneffe
982,982,Hannêche
983,983,Hannut
984,984,Hanret
985,985,Hansbeke
986,986,Han-sur-Lesse
987,987,Hantes-Wihéries
988,988,Hanzinelle
989,989,Hanzinne
990,990,Harchies
991,991,Harelbeke
992,992,Haren (Borgloon)
993,993,Haren (Tongeren)
994,994,Hargimont
995,995,Harmignies
996,996,Harnoncourt
997,997,Harre
998,998,Harsin
999,999,Harveng
1000,1000,Harzé
1001,1001,Hasselt
1002,1002,Hastière
1003,1003,Hastière-Lavaux
1004,1004,Hastière-par-Delà
1005,1005,Hatrival
1006,1006,Haulchin
1007,1007,Hauset
1008,1008,Haut-Fays
1009,1009,Haut-Ittre
1010,1010,Haut-le-Wastia
1011,1011,Hautrage
1012,1012,Havay
1013,1013,Havelange
1014,1014,Haversin
1015,1015,Havinnes
1016,1016,Havré
1017,1017,Hechtel
1018,1018,Heer
1019,1019,Heers
1020,1020,Hees
1021,1021,Heestert
1022,1022,Heffen
1023,1023,Heikruis
1024,1024,Heindonk
1025,1025,Heinsch
1026,1026,Heist-aan-Zee
1027,1027,Heist-Op-Den-Berg
1028,1028,Hekelgem
1029,1029,Heks
1030,1030,Helchin
1031,1031,Helchteren
1032,1032,Heldergem
1033,1033,Hélécine
1034,1034,Helen-Bos
1035,1035,Helkijn
1036,1036,Hellebecq
1037,1037,Hemelveerdegem
1038,1038,Hemiksem
1039,1039,Hemptinne (Fernelmont)
1040,1040,Hemptinne-lez-Florennes
1041,1041,Hendrieken
1042,1042,Henis
1043,1043,Hennuyères
1044,1044,Henri-Chapelle
1045,1045,Henripont
1046,1046,Hensies
1047,1047,Heppen
